4,さくらの開花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,地点名,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm,1976,rm,1977,rm,1978,rm,1979,rm,1980,rm,1981,rm,1982,rm,1983,rm,1984,rm,1985,rm,1986,rm,1987,rm,1988,rm,1989,rm,1990,rm,1991,rm,1992,rm,1993,rm,1994,rm,1995,rm,1996,rm,1997,rm,1998,rm,1999,rm,2000,rm,2001,rm,2002,rm,2003,rm,2004,rm,2005,rm,2006,rm,2007,rm,2008,rm,2009,rm,2010,rm,2011,rm,2012,rm,2013,rm,2014,rm,2015,rm,2016,rm,2017,rm,2018,rm,2019,rm,2020,rm,2021,rm,2022,rm,2023,rm,2024,rm,2025,rm,2026,rm,2027,rm,2028,rm,2029,rm,2030,rm,2031,rm,2032,e,平年値,rm,最早値,rm,最早年,最晩値,rm,最晩年
588,山形　　,419,8,413,8,412,8,418,8,420,8,417,8,409,8,417,8,417,8,416,8,415,8,414,8,426,8,415,8,418,8,414,8,420,8,424,8,416,8,412,8,416,8,424,8,417,8,418,8,415,8,423,8,412,8,421,8,421,8,416,8,414,8,429,8,419,8,420,8,415,8,420,8,407,8,409,8,412,8,412,8,416,8,415,8,417,8,424,8,413,8,411,8,414,8,419,8,412,8,403,8,414,8,410,8,419,8,418,8,413,8,412,8,411,8,419,8,418,8,423,8,415,8,414,8,410,8,406,8,414,8,404,8,412,8,403,8,402,8,411,8,331,8,407,8,409,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,8,331,8,2023,429,8,1984
590,仙台　　,411,8,406,8,411,8,416,8,416,8,410,8,404,8,412,8,411,8,414,8,412,8,411,8,420,8,411,8,411,8,410,8,414,8,421,8,414,8,408,8,411,8,419,8,414,8,414,8,414,8,421,8,409,8,414,8,413,8,411,8,413,8,428,8,417,8,419,8,410,8,417,8,403,8,403,8,411,8,406,8,409,8,411,8,411,8,417,8,408,8,408,8,408,8,413,8,410,8,329,8,409,8,407,8,414,8,413,8,406,8,405,8,407,8,413,8,412,8,418,8,409,8,407,8,403,8,401,8,407,8,330,8,405,8,328,8,328,8,408,8,326,8,402,8,404,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,8,326,8,2023,428,8,1984
595,福島　　,409,8,405,8,409,8,414,8,415,8,407,8,403,8,408,8,411,8,409,8,407,8,411,8,418,8,406,8,410,8,406,8,413,8,419,8,409,8,406,8,409,8,417,8,411,8,413,8,412,8,417,8,408,8,413,8,412,8,408,8,410,8,425,8,414,8,417,9,406,9,416,9,401,9,403,9,409,9,405,9,412,9,408,9,409,9,415,9,408,9,407,9,405,9,413,9,408,9,329,9,408,9,403,9,411,9,412,9,402,9,406,9,406,9,409,9,412,9,416,9,405,9,408,9,402,9,330,9,408,9,329,9,405,9,328,9,325,9,404,9,324,9,403,9,404,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,8,324,8,2023,425,8,1984
597,白河　　,416,8,406,8,411,8,416,8,416,8,410,8,408,8,411,8,413,8,414,8,414,8,413,8,425,8,413,8,412,8,414,8,415,8,423,8,415,8,414,8,412,8,419,8,415,8,415,8,414,8,422,8,408,8,420,8,416,8,414,8,414,8,428,8,417,8,422,9,410,9,420,9,409,9,408,9,412,9,410,9,416,9,414,9,418,9,424,9,410,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,8,1954,428,8,1984
598,小名浜　,406,8,401,8,403,8,412,8,411,8,407,8,330,8,405,8,408,8,409,8,413,8,410,8,415,8,401,8,403,8,407,8,412,8,416,8,409,8,403,8,408,8,414,8,410,8,405,8,410,8,416,8,331,8,414,8,411,8,406,8,411,8,425,8,411,8,417,9,405,9,413,9,330,9,330,9,409,9,402,9,408,9,407,9,406,8,408,8,401,8,407,8,402,8,408,8,405,8,325,8,408,8,401,8,410,8,403,8,329,8,330,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,8,2002,425,8,1984
600,輪島　　,408,8,405,8,407,8,413,8,415,8,407,8,401,8,406,8,404,8,410,8,411,8,412,8,418,8,409,8,408,8,410,8,413,8,418,8,412,8,409,8,410,8,415,8,412,8,414,8,410,8,416,8,407,8,412,8,410,8,407,8,411,8,424,8,413,8,414,9,407,9,415,9,401,9,402,9,411,9,405,9,408,9,412,9,410,9,417,9,407,9,406,9,408,9,413,9,407,9,329,9,408,9,401,9,410,9,412,9,408,8,406,8,406,8,409,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,8,2002,424,8,1984
602,相川　　,411,8,406,8,408,8,414,8,416,8,408,8,403,8,406,8,411,8,409,8,412,8,414,8,419,8,412,8,410,8,410,8,414,8,421,8,414,8,412,8,411,8,417,8,414,8,414,8,413,8,417,8,407,8,414,8,412,8,412,8,412,8,427,8,413,8,419,8,410,8,420,8,407,8,404,8,413,8,408,8,414,8,413,8,414,8,419,9,411,9,408,9,411,9,413,9,410,9,402,9,410,9,405,9,416,9,412,9,409,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,8,2002,427,8,1984
604,新潟　　,413,8,408,8,409,8,415,8,418,8,413,8,405,8,411,8,412,8,411,8,412,8,411,8,419,8,410,8,411,8,412,8,416,8,420,8,413,8,408,8,410,8,418,8,413,8,414,8,414,8,417,8,408,8,416,8,413,8,409,8,412,8,426,8,410,8,417,8,408,8,416,8,401,8,401,8,411,8,405,8,409,8,411,8,409,8,416,8,407,8,406,8,406,8,412,8,408,8,330,8,406,8,402,8,414,8,411,8,406,8,405,8,407,8,411,8,414,8,416,8,407,9,407,9,402,9,403,9,408,9,403,9,405,9,401,9,329,9,408,9,327,9,406,9,406,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,8,327,8,2023,426,8,1984
605,金沢　　,402,8,401,8,401,8,410,8,408,8,401,8,327,8,329,8,406,8,407,8,410,8,406,8,413,8,404,8,405,8,407,8,410,8,416,8,409,8,404,8,406,8,410,8,408,8,404,8,406,8,411,8,330,8,406,8,408,8,402,8,408,8,417,8,407,8,410,8,330,8,412,8,326,8,328,8,407,8,402,9,402,9,411,9,408,9,411,9,402,9,331,9,401,9,407,8,402,8,326,8,403,8,328,8,407,8,406,8,329,8,402,8,403,8,401,8,407,8,410,8,330,8,401,8,331,8,330,8,404,8,329,8,401,8,326,8,323,8,330,8,323,8,401,8,329,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,8,323,8,2023,417,8,1984
607,富山　　,408,8,404,8,406,8,413,8,416,8,405,8,331,8,405,8,408,8,407,8,411,8,411,8,416,8,407,8,406,8,408,8,413,8,417,8,410,8,406,8,408,8,413,8,410,8,408,8,411,8,415,8,403,8,409,8,410,8,402,8,409,8,420,8,410,8,411,8,405,8,414,8,329,8,401,8,410,8,404,8,411,8,411,8,407,8,410,8,401,8,330,8,401,8,410,8,405,8,326,8,404,8,329,8,408,8,407,8,330,8,402,8,330,8,402,8,408,8,412,8,329,8,402,8,401,8,329,8,405,8,327,8,328,8,327,8,324,8,401,8,322,8,402,8,402,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,8,322,8,2023,420,8,1984
610,長野　　,417,8,407,8,410,8,414,8,417,8,409,8,405,8,413,8,414,8,415,8,415,8,413,8,424,8,414,8,413,8,414,8,416,8,424,8,414,8,407,8,412,8,417,8,415,8,415,8,415,8,420,8,408,8,418,8,417,8,413,8,413,8,426,8,413,8,420,8,409,8,420,8,406,8,407,8,412,8,409,8,418,8,415,8,417,8,423,8,411,8,410,8,410,8,418,8,410,8,402,8,415,8,406,8,414,8,415,8,407,8,410,8,408,8,409,8,415,8,418,8,406,8,411,8,404,8,403,8,414,8,402,8,413,8,402,8,329,8,409,8,328,8,408,8,408,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,8,328,8,2023,426,8,1984
